filename	subjectGroup	age	sex	Native.language.s.	mySegmentationCond	lang	response	correct_segm	underlying	surface	n.changes	closest_match_just_match	closest.match.length	closest.match.pos	stream	n.attested.sylls	closest_match
399612_200413_124853_d6fde7f2e6b909872f6d79eb8fe0a58b791b456e.csv	1	25	male	English, Chinyanja	continuous	L1	dogora pitibo,dodora pitabo pitibo,digora pa	0	pidabo	pitabo	1	pi	2	1	abc	2	pidaXX
399612_200413_124853_d6fde7f2e6b909872f6d79eb8fe0a58b791b456e.csv	1	25	male	English, Chinyanja	continuous	L1	dogora pitibo,dodora pitabo pitibo,digora pa	0	tigoropa	digorapa	2	ti	2	1	abc	4	tigoropa
399612_200413_125604_39df373395556d3ca9a31aeb576e163068262ec5.csv	2	28	male	english	continuous	L2	gala,ba,rapute,tuti,rok	0.75	gola	gala	1	gola	4	1	abc	2	gola
399612_200413_125604_39df373395556d3ca9a31aeb576e163068262ec5.csv	2	28	male	english	continuous	L2	gala,ba,rapute,tuti,rok	0.75	pa	ba	1	pa	2	1	abc	1	pa
399612_200413_125604_39df373395556d3ca9a31aeb576e163068262ec5.csv	2	28	male	english	continuous	L2	gala,ba,rapute,tuti,rok	0.75	robuti	raputi	2	robu	4	1	cab	3	robuti
399612_200413_125604_39df373395556d3ca9a31aeb576e163068262ec5.csv	2	28	male	english	continuous	L2	gala,ba,rapute,tuti,rok	0.75	tuti	tuti	0	tu	2	1	abc	2	tuti
399612_210517_100617_27fdf01a24376a934f46537481efe1fe74d26f51.csv	2	19	female	english	continuous	L2	mikala habuti mikala fikala zukala bekeke mikala zushala wufala	1	migola	mikala	2	gola	4	2	abc	2	XXgola
399612_210517_100617_27fdf01a24376a934f46537481efe1fe74d26f51.csv	2	19	female	english	continuous	L2	mikala habuti mikala fikala zukala bekeke mikala zushala wufala	1	figola	fikala	2	gola	4	2	abc	2	XXgola
399612_210517_100617_27fdf01a24376a934f46537481efe1fe74d26f51.csv	2	19	female	english	continuous	L2	mikala habuti mikala fikala zukala bekeke mikala zushala wufala	1	zugola	zukala	2	gola	4	2	abc	2	XXgola
399612_210517_100617_27fdf01a24376a934f46537481efe1fe74d26f51.csv	2	19	female	english	continuous	L2	mikala habuti mikala fikala zukala bekeke mikala zushala wufala	1	biki	biki	0	bi	2	1	abc	1	biXX
399612_210517_100617_27fdf01a24376a934f46537481efe1fe74d26f51.csv	2	19	female	english	continuous	L2	mikala habuti mikala fikala zukala bekeke mikala zushala wufala	1	zusala	zusala	0	la	2	3	abc	1	XXXXla
399612_210517_100617_27fdf01a24376a934f46537481efe1fe74d26f51.csv	2	19	female	english	continuous	L2	mikala habuti mikala fikala zukala bekeke mikala zushala wufala	1	bufala	vufala	1	bu	2	1	abc	2	buXXla
399612_210517_100651_55784a54dcf52936bc0bd115ca860833bf4d251a.csv	2	44	male	English	continuous	L2	da rutu papi gola git papu nitu di nin entu	1	da	da	0	da	2	1	bca	1	da
399612_210517_100651_55784a54dcf52936bc0bd115ca860833bf4d251a.csv	2	44	male	English	continuous	L2	da rutu papi gola git papu nitu di nin entu	1	rotu	rutu	1	ro	2	1	abc	2	rotu
399612_210517_100651_55784a54dcf52936bc0bd115ca860833bf4d251a.csv	2	44	male	English	continuous	L2	da rutu papi gola git papu nitu di nin entu	1	papi	papi	0	papi	4	1	cab	2	papi
399612_210517_100651_55784a54dcf52936bc0bd115ca860833bf4d251a.csv	2	44	male	English	continuous	L2	da rutu papi gola git papu nitu di nin entu	1	gola	gola	0	gola	4	1	abc	2	gola
399612_210517_100651_55784a54dcf52936bc0bd115ca860833bf4d251a.csv	2	44	male	English	continuous	L2	da rutu papi gola git papu nitu di nin entu	1	pabu	papu	1	pa	2	1	abc	2	pabu
